Colaborador,Data,Horas totais (decimal),Hora extra,Hora sobreaviso,Código PEP,PEP
João Silva,01/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,02/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,03/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,04/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,05/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,08/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,09/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,10/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,11/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,12/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,15/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,16/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,17/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,18/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,19/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,22/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,23/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,24/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,25/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,26/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,29/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,30/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,31/07/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,01/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,02/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,05/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,06/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,07/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,08/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,09/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,12/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,13/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,14/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,15/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,16/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,19/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,20/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,21/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,22/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,23/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,26/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,27/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,28/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,29/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,30/08/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,02/09/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,03/09/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,04/09/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,05/09/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,06/09/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,09/09/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,10/09/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,11/09/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,12/09/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,13/09/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,16/09/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,17/09/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,18/09/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,19/09/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,20/09/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,23/09/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,24/09/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,25/09/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,26/09/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,27/09/2024,7.0,,,PRJ-001,Transformação Digital
João Silva,30/09/2024,7.0,,,PRJ-001,Transformação Digital
Carlos Oliveira,01/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,02/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,03/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,04/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,05/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,08/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,09/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,10/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,11/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,12/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,15/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,16/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,17/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,18/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,19/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,22/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,23/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,24/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,25/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,26/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,29/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,30/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,31/07/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,01/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,02/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,05/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,06/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,07/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,08/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,09/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,12/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,13/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,14/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,15/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,16/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,19/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,20/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,21/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,22/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,23/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,26/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,27/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,28/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,29/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,30/08/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,02/09/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,03/09/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,04/09/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,05/09/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,06/09/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,09/09/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,10/09/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,11/09/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,12/09/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,13/09/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,16/09/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,17/09/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,18/09/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,19/09/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,20/09/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,23/09/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,24/09/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,25/09/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,26/09/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,27/09/2024,6.0,,,PRJ-003,Migração Cloud
Carlos Oliveira,30/09/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,01/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,02/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,03/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,04/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,05/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,08/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,09/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,10/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,11/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,12/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,15/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,16/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,17/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,18/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,19/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,22/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,23/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,24/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,25/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,26/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,29/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,30/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,31/07/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,01/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,02/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,05/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,06/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,07/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,08/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,09/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,12/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,13/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,14/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,15/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,16/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,19/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,20/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,21/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,22/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,23/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,26/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,27/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,28/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,29/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,30/08/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,02/09/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,03/09/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,04/09/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,05/09/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,06/09/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,09/09/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,10/09/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,11/09/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,12/09/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,13/09/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,16/09/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,17/09/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,18/09/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,19/09/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,20/09/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,23/09/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,24/09/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,25/09/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,26/09/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,27/09/2024,6.0,,,PRJ-003,Migração Cloud
Roberto Costa,30/09/2024,6.0,,,PRJ-003,Migração Cloud
Lucas Pereira,01/07/2024,6.0,,,PRJ-004,Plataforma Analytics
Lucas Pereira,02/07/2024,6.0,,,PRJ-004,Plataforma Analytics
Lucas Pereira,03/07/2024,6.0,,,PRJ-004,Plataforma Analytics
Lucas Pereira,04/07/2024,6.0,,,PRJ-004,Plataforma Analytics
Lucas Pereira,05/07/2024,6.0,,,PRJ-004,Plataforma Analytics
Lucas Pereira,08/07/2024,6.0,,,PRJ-004,Plataforma Analytics
Lucas Pereira,09/07/2024,6.0,,,PRJ-004,Plataforma Analytics
Lucas Pereira,10/07/2024,6.0,,,PRJ-004,Plataforma Analytics
Lucas Pereira,11/07/2024,6.0,,,PRJ-004,Plataforma Analytics
Lucas Pereira,12/07/2024,6.0,,,PRJ-004,Plataforma Analytics
